date_iso,exercise,set_index,reps,target_reps,set_duration_sec,rest_planned_sec,fecha
2025-09-05T20:28:06,Sentadillas,1,10,10,49.82,45,2025-09-05
2025-09-05T20:29:05,Sentadillas,2,10,10,14.23,45,2025-09-05
